objectid,title,description,orthography,orthography_tone,ipa,part_of_speech,semantic_domain,tone_melody,syllable_structure,phonation_type,english,spanish,speaker,notes,object_location,format,display_template
kaxin-01,káxin,obvious,kaxin,káxin,[káʃĩ],adverb,,HM,CVCV,modal,obvious,obvio,,"as in ""I'll explain it to you clearly""",,,
kayi-01,kayi,sound,kayi,,[kaji],noun,,,CVCV,modal,sound,sonido,NGC,,,,
kayu-u-01,kàyu'ú,yell ,kayu'u,kàyu'ú,[kàjuˀú],verb (completive),Actions and activities,LMH,CVCV?V,glottalized,yell ,gritar ,,,objects/gritar_(comp).wav,audio/wav,audio
kayu-u-02,káyu'ú,yell ,kayu'u,káyu'ú,[kájuˀú],verb (continuative),Actions and activities,HMH,CVCV?V,glottalized,yell ,gritar ,,,objects/gritar_(cont).wav,audio/wav,audio
kayu-u-03,kayu'ú,yell ,kayu'u,kayu'ú,[kajuˀú],verb (potential),Actions and activities,MMH,CVCV?V,glottalized,yell ,gritar ,,,objects/gritar_(pot).wav,audio/wav,audio
keeva-a-01,kèevà'a,win2 ,keeva'a,kèevà'a,[kèeβàˀa],verb (completive),Actions and activities,LMLM,CVVCV?V,glottalized,win2 ,ganar ,,,,,
keeva-a-02,kéevà'a,win2 ,keeva'a,kéevà'a,[kéeβàˀa],verb (continuative),Actions and activities,HMLM,CVVCV?V,glottalized,win2 ,ganar ,,,,,
keeva-a-03,keevà'a,win2 ,keeva'a,keevà'a,[keeβàˀa],verb (potential),Actions and activities,MMLM,CVVCV?V,glottalized,win2 ,ganar ,,,,,
keva-a-01,kévà'ǎ,wins,keva'a,kévà'ǎ,[kéβàˀǎ],verb,Actions and activities,HLR,CVCV?V,glottalized,wins,gana,,,objects/gana.wav,audio/wav,audio
keva-a-02,kèvà'a,win ,keva'a,kèvà'a,[kèβàˀa],verb (completive),Actions and activities,LLM,CVCV?V,glottalized,win ,ganar ,,,objects/ganar_(comp).wav,audio/wav,audio
keva-a-03,kévà'a,win ,keva'a,kévà'a,[kéβàˀa],verb (continuative),Actions and activities,HLM,CVCV?V,glottalized,win ,ganar ,,,objects/ganar_(cont).wav,audio/wav,audio
keva-a-04,kevà'a,win ,keva'a,kevà'a,[keβàˀa],verb (potential),Actions and activities,MLM,CVCV?V,glottalized,win ,ganar ,,,objects/ganar_(pot).wav,audio/wav,audio
ki-tyi-vali-01,ki'tyi válí,bug,ki'tyi vali,ki'tyi válí,[kiˀt͡ʃi βálí],noun,wild animals,MM HH,CV?CV CVCV,glottalized,bug,bicho,,,objects/bicho.wav,audio/wav,audio
kia-mi-01,kiá'mǐ,squash,kia'mi,kiá'mǐ,[kʲáˀmǐ],noun,"food, drink, and cooking",HR,CV?CV,glottalized,squash,calabaza,,,objects/calabaza_1.wav,audio/wav,audio
kiani-nuu-01,kuanì nuu,step on ,kiani nuu,kuanì nuu,[kʷãì nuu],verb (potential),Actions and activities,ML MM,CVV CVV,modal,step on ,pisar ,,,,,
kie-e-01,kiè'è,outside,kie'e,kiè'è,[kʲèˀè],adjective,landscape and environment,LL,CV?V,glottalized,outside,afuera,,,objects/afuera.wav,audio/wav,audio
kije-01,kìjě,our names,kije,kìjě,[kìʰě],noun,,LR,CVhV,aspirated,our names,nuestros nombres,LA,Said,objects/nuestros_nombres.wav,audio/wav,audio
kiji-01,kìjî,day/name,kiji,kìjî,[kìʰî],noun,,LF,CVhV,aspirated,day/name,día/nombre,LA,"cf tones from ""Asi se hizo la brecha""",objects/dia_nombre.wav,audio/wav,audio
